Colonne 1,Parameter,Feature,Evaluation,Range of Evaluation,Description,Prompt,New Prompt
50,Sense of Motion,Visual Opinion,Score,"No movement, Lots of visible movement",Impression of movement or force.,"Impression of movement or force.
Impression of movement rated from 0 (no movement) to 100 (lots of visible movement).
Score type: continuous score between 0 and 100.","This parameter measures the intensity of perceived movement in the image. The movement can be real (a moving subject, motion blur, a dynamic pose), or simply suggested by lines of tension, an unbalanced composition, or an interrupted gesture. A still image can therefore convey a strong impression of movement if its visual structure clearly suggests dynamism. Conversely, a frozen or posed scene, without perceptible tension, will be considered static.

Examples of the rating:
- 0: The image is completely static, without a dynamic pose or composition suggesting movement.
- 50: The image contains a subject whose pose suggests movement, or a slight visual tension that evokes imminent action.
- 100: The movement is obvious: motion blur, a subject in mid-jump, or a visual effect that clearly draws the eye in a strong direction."
51,Directional Lighting,Visual Opinion,Text,Information given by the user on light correction.,The direction from which light comes can create shadows that alter texture and shape.,"The direction from which light comes can create shadows that alter texture and shape.
Information given by the user on light correction.
Score type: text.","This parameter gathers a textual description of the direction of light perceived in the image. It indicates where the main light source appears to originate (e.g., left side light, zenithal light, backlighting, backlighting, etc.) and assesses its effect on the scene (creation of strong shadows, modeling of shapes, flattening, uniform lighting, etc.). This information can be used to correct or adjust the visual interpretation of the scene according to the perceived intention or desired effect.

Examples of expected responses:

– Right side light, creating sharp shadows on the face.

– Soft zenithal lighting, little relief in the texture.

– Strong backlighting, bright outlines and dark silhouette.

– Direct frontal light, flattening of volumes."
52,Overall Expert Assessment,Visual Opinion,Text,General feeling about the technical elements of the image.,Assessment of a photographer expert regarding the photograph,"Assessment of a photographer expert regarding the photograph.
General feeling about the technical elements of the image.
Score type: text.","This parameter gathers a general assessment from an expert photographer on the technical aspects of the image. The analysis may focus on exposure control, composition, sharpness, lighting quality, color rendering, or use of visual space. The comment should reflect a concise professional evaluation, without subjective judgment on the emotional or narrative content of the image.

Examples of expected responses:

– Good exposure control despite challenging lighting conditions; the composition is stable and well-structured.

– Technically sound image, but slightly overexposed in the highlights; sharpness is precise.

– Some sharpness issues in key areas, and slightly excessive contrast; overall, the image remains well-framed."
53,Overall Aesthetics Assessment,Visual Opinion,Score,"Poor aesthetically speaking, Perfect",Overall scoring of the aesthetics perception of the expert,"Overall scoring of the aesthetics perception of the expert.
Value of 0: The image is very poor aesthetically speaking;
At 100: the photograph is perfect.
Score type: continuous score between 0 and 100.","This parameter represents the overall perception of the image's aesthetics, as evaluated by an expert. It reflects the visual strength, emotional impact, artistic balance, stylistic coherence, and originality of the photograph. This assessment may incorporate technical criteria, but is not limited to them: it also values ​​the intention, the emotion conveyed, and the power of the final result.

Examples of ratings:
- 0: The image is perceived as aesthetically very poor, confusing, or lacking visual interest; no structure or impact.
- 50: The image is aesthetically acceptable but lacks originality or particular strength; pleasant but neutral to view.
- 100: The image is perceived as aesthetically very strong: remarkable composition, palpable emotion, assertive or bold style."
54,Overall Technical Assessment,Visual Opinion,Score,"Very poor, Perfect",Overall scoring of the technicality of the image from the expert,"Overall scoring of the technicality of the image from the expert.
Value of 0: The image is very poor technically speaking;
At 100: the photograph is perfect in terms of photography technique mastery.
Score type: continuous score between 0 and 100.","This parameter measures, on a scale of 0 to 100, the overall technical quality of the image as assessed by an expert. It synthesizes all the criteria of photographic mastery: exposure, sharpness, white balance, light management, digital noise, distortion, optical aberrations, etc. This score does not take into account emotional or aesthetic impact, but only the perceived rigor of technical execution.

Examples of scores:
- 0: The image has serious technical flaws: blurry, underexposed, noisy, distorted, or underutilized.
- 50: The image is technically correct, but contains noticeable imperfections or poorly controlled settings.
- 100: The image is technically flawless: perfect exposure, controlled sharpness, precise rendering, no visible anomalies."
55,Double Exposure,Effect,Boolean,Does the image represent a double exposure?,Technique that overlays two or more images to create a single composite image.,"Technique that overlays two or more images to create a single composite image.
Does the image represent a double exposure?
Score type: Boolean.","This parameter detects whether the image represents a double exposure, that is, an intentional superimposition of two or more scenes in a single composite image. This technique is manifested by the visible merging of two subjects, textures, or silhouettes, often with partial transparencies or overlapping edges. It can be achieved during shooting (film or digital) or in post-production, but must be clearly identifiable by the simultaneous presence of two distinct image levels.

Examples:
– True: A face blending into a landscape, a human body mixed with natural or urban textures, two scenes superimposed with transparency.

– False: An image containing reflections in a window, multiple shadows, or semi-transparent objects, without a deliberate merging effect between two distinct scenes."
56,Development,Effect,Boolean,Has the image been developed?,"Modifications made after shooting, such as cropping, color adjustment, etc.","Modifications made after shooting, such as cropping, color adjustment, etc.
Has the image been developed?
Score type: Boolean.","This parameter detects whether the image has been processed, meaning whether it has undergone adjustments after shooting to improve or correct its appearance. This can include operations such as cropping, adjusting exposure, contrast, white balance, saturation, or optimizing certain details. This criterion does not cover advanced retouching or compositing, but only processing associated with a photographic development process, whether digital or analog.

Examples:
– True: The image has been corrected in terms of light, color, or composition after shooting.

– False: The image appears as it came from the sensor or film, without any visible or perceptible modifications."
57,Retouching,Effect,Boolean,Has the image been retouched?,Image retouching.,"Image retouching.
Has the image been retouched?
Score type: Boolean.","This parameter detects whether the image has been retouched, meaning whether targeted modifications have been made to its content after it was taken. This includes operations such as removing or adding elements, smoothing skin, altering shapes, correcting specific flaws, or any localized intervention aimed at transforming a part of the image. This criterion goes beyond overall development (exposure, color, cropping) to encompass direct manipulations of the visual content.

Examples:
– True: Objects have been erased, body parts modified, or elements moved or rearranged.

– False: The image has simply been developed (overall adjustments to contrast, exposure, hue, etc.), without any localized modifications or alterations to the content."
58,HDR (High Dynamic Range),Effect,Boolean,Does the image use HDR techniques?,Technique combining multiple exposures for one image to manage extreme contrasts.,"Technique combining multiple exposures for one image to manage extreme contrasts.
Does the image use HDR techniques?
Score type: Boolean.","This parameter identifies whether the image uses HDR (High Dynamic Range) technology, which combines multiple exposures to create a single image capable of simultaneously preserving detail in both very dark and very bright areas. This type of rendering is characterized by exceptional dynamic range reproduction, often visible in high-contrast scenes such as backlit skies, interiors facing a window, or landscapes with low sunlight. The criterion can also be applied to simulated HDR digital processing.

Examples:
– True: The image shows a detailed sky with clouds in bright sunlight and deep shadows with texture; there is no flattening or overexposure.

– False: The image appears well-exposed but loses detail in the shadows or highlights; there is no perceptible blending of multiple exposures."
59,Image Realism,Effect,Score,"Not at all realistic, Completely realistic",Image realism level,"Image realism level.
Is the image realistic?
Value of 0: The image is not at all realistic;
At 100: The image is completely realistic.
Score type: continuous score between 0 and 100.","This parameter measures how realistic the image appears, that is, whether it could be perceived as a real scene captured by a camera, without any glaring visual inconsistencies. Realism is assessed through the consistency of lighting, textures, volumes, colors, proportions, and the overall environment. A highly realistic image will appear indistinguishable from a real photograph; an unrealistic image will exhibit visual anomalies, digital effects, or elements incompatible with the real world.

Examples of the rating:
- 0: The image is clearly unrealistic: abnormal proportions, inconsistent lighting, artificial textures, impossible elements.

- 50: The image has an overall believable structure, but certain details (textures, hands, perspective, etc.) disrupt its plausibility.

- 100: The image is entirely consistent with a real scene: natural lighting, believable volumes, realistic textures, no detectable anomalies."
60,AI Creation Probabiltiy,Effect,Score,"Low,High",The likelihood that the photo is created by artificial intelligence.,"Define here the likelihood that the photo is created by artificial intelligence.
Value of 0: definitely not created by AI;
At 100: definitely created by AI.
Score type: continuous score between 0 and 100.","This parameter measures the probability that an image was generated by artificial intelligence, based on its visual appearance. The analysis relies on identifying characteristics common in synthetic images: anatomical inconsistencies, artificial textures, unrealistic lighting, blurred or generated backgrounds, abnormal repetitions, or excessive digital sharpening. The score reflects a visual assessment, without technical certainty, and should not take into account the file's metadata.

Scoring examples:
- 0: The image exhibits all the hallmarks of a real photograph: natural proportions, consistent details, believable imperfections.
- 50: Some elements appear believable, but blurry areas, inconsistent textures, or structural errors raise doubts.
- 100: The image is clearly synthetic: morphological or geometric inconsistencies, unrealistic textures, overly smooth or artificial rendering."
61,Photographic Intent,Narration,Text,Description of the intention intended by the photographer who created the image,Message or emotion conveyed by the photographer.,"Message or emotion conveyed by the photographer.
Describe the intention intended by the photographer who created the image.
Score type: text.","This parameter describes the photographer's intention behind the image, that is, the message, idea, or emotion they seem to want to express. The analysis can focus on the choice of subject, the style of processing, the atmosphere created, or the narrative elements present in the scene. The goal is to interpret what the image seeks to convey beyond its technical or aesthetic qualities.

Examples of expected answers:

– Suggest urban solitude through distant framing and the subject's isolation.

– Create a sense of calm through the use of cool colors and symmetry.

– Show the fragility of childhood through a gaze captured against the light.

– Celebrate the dynamism of a body in motion within a raw and graphic setting."
62,Emotional Impact,Narration,Text,Viewer's feelings,Viewer's feeling.,"Describe the viewer's feelings.
Score type: text.","## 🧠 Prompt AI — Free Emotional Reading (v1)

### 🎭 ROLE
You are a **visual critic specializing in emotional perception**, tasked with conveying in writing the **overall feeling that a photograph can evoke**. You must neither rate the image nor structure your response with numerical data. Your analysis must be **fluid, sensitive, and natural**, like an oral observation or a gallery caption.

---

### 🎯 OBJECTIVE

Describe, in a single text:

- **The emotions that the image is likely to trigger** in an average viewer.

- **The overall atmosphere** conveyed by the image (light, colors, gestures, ambiance).

- **The dominant visual feeling** (serenity, tension, tenderness, mystery, warmth, etc.).

Use a vocabulary that is **subtle, evocative, and poetic if necessary**, but remain clear and grounded in the visual.

---

### 🔗 STYLE GUIDELINES
- One text response only, without dashes, bullet points, scores, or tables.

- No technical evaluation.

- Write in a **sensitive and accessible** style, somewhere between art criticism and personal observation.

---

### 🧾 EXAMPLE OUTPUT
> The image conveys a feeling of gentleness and immediate intimacy. The eye is drawn to the relaxed expressions, the natural light, and the simplicity of the moment. There is a sense of preserved, almost silent intimacy, like a moment suspended between bursts of laughter or a still-unseen gesture of tenderness. Nothing tries to impress; everything seems genuine. A sincere and peaceful atmosphere emanates from it.

---

Use this format for each image you analyze. No JSON output is expected."
63,Intended Purpose,Exploitation,Text,Intended use of the image,Use of the image.,"Describe the intended use of the image.
Score type: text.","This parameter describes the intended or likely use of the image, based on its style, intention, level of detail, and visual context. It could be for artistic, personal, commercial, or editorial purposes. The goal is to situate the photograph within its intended or interpreted context, whether public, private, or institutional.

Examples of expected responses:

– Advertising use for a lifestyle campaign for a clothing brand.

– Illustration for a press article on dehumanized urban spaces.

– Gallery display as part of a series of conceptual portraits.

– Personal memento of a family or intimate moment.

"
64,Target Audience,Exploitation,Text,Image target.,Target of the image.,"Determine the target audience of the image.
Score type: text.","This parameter identifies the target audience for the image, based on its visual style, content, narrative intent, or likely distribution channel. The audience can be defined by criteria such as age, culture, profession, interests, or aesthetic sensibilities. This information can be interpreted or stated.

Examples of expected responses:
– Young adults interested in contemporary urban fashion.

– Graphic design or visual advertising professionals.

– Families seeking to document authentic life moments.

– Viewers sensitive to environmental or social issues.

– Viewers of a conceptual photography exhibition."
65,Detailed Emotional Impact,Narration,Text,,,,"## 🧠 Prompt AI — Emotional Impact Assessment (v1.2)

### 🎭 ROLE
You are an **image critic specializing in emotional perception**, tasked with analyzing the **overall emotional impact of a photograph on different types of viewers**.

You rely on the **visual experience**, the atmosphere of the image, and the **photographer's intention, if specified**. You also adapt your analysis according to the **context of use** of the image.

---

### 🎯 OBJECTIVE

You must:

1. Identify the **most commonly felt emotions** when viewing the image.

2. **Weight each emotion** with an **estimated percentage** of probability.

3. Provide an **overall emotional intensity score** (from 0 to 100).

4. Differentiate **according to 2 or 3 standard viewer types**.

5. If an **explicit emotional intention** is provided, analyze the **alignment between the intention and the perceived effect**.

6. Adapt the emotional interpretations according to the **context of use** provided.

---

### 🧩 LIST OF PREDEFINED EMOTIONS

Use a selection from this list (which can be customized):
**Joy, Calm, Nostalgia, Pride, Sadness, Fascination, Excitement, Unease, Wonder, Serenity, Discomfort, Boredom**

---

### 🧬 TYPES OF SPECTATORS (typical profile)

- `general_public` (average spectator)
- `feminine_perspective` (feminine artistic sensibility)
- `masculine_perspective` (masculine sensibility)
- `advertising_client` (potential marketing interpretation)

You can ignore one or more profiles if they don't seem relevant.

---

### 📝 INTENTION (optional)

If an **emotional intention of the photographer** is provided (e.g., ""to convey childhood nostalgia""), evaluate:
- The **consistency** between the intention and the perceived emotions
- The **success** of the rendering on a scale of 0 to 100
- Add a **brief textual justification**

---

### 🧭 CONTEXT OF USE (optional)

Adapt the emotional interpretation according to the provided context of use. Choose from:

- `personal` (souvenir photo, diary, blog)
- `advertising` (communication, product, lifestyle)
- `exhibition` (gallery, contemporary art, installation)
- `editorial` (press illustration or publication)

---

### 🧾 OUTPUT FORMAT

```json
{
""overall_emotional_impact"": 72,

""main_emotions"": {

""calm"": 60,

""nostalgia"": 50,

""pride"": 30

},

""interpretation_according_to_profile"": {

""general_audience"": {

""emotions"": { ""calm"": 60, ""nostalgia"": 50 },

""intensity"": 65,

""rating"": ""Image perceived as calming and evocative of memories.""

},

""feminine_gaze"": {

""emotions"": { ""warmth"": 55, ""sensuality"": 40 },

""intensity"": 70,

""rating"": ""Soft perception of the curves and overall emotional warmth.""

},

""masculine_gaze"": {

""emotions"": { ""excitement"": 50, ""curiosity"": 40 },

""intensity"": 75,

""rating"": ""A more direct and stimulating reading of the presented forms.""

}

},

""alignment_with_intention"": {

""stated_intention"": ""To evoke childhood nostalgia"",

""coherence"": true,

""success"": 85,

""justification"": ""The softness of the colors and the staging effectively evoke a warm, cherished memory.""

},

""analysis_according_to_context"": {
""personal"": {
""rating"": ""Ideal image to evoke an intimate memory, a suspended moment in a familiar place."",

""intensity"": 70

},

""advertising"": {
""rating"": ""Bright, warm, and natural atmosphere, suitable for promoting home decor, lifestyle, or slow living products."",

""intensity"": 65

},

""exhibition"": {
""rating"": ""A poetic interpretation of space and everyday life. Light and objects converse in a simple and nostalgic aesthetic."",

""intensity"": 60

}

}
```"
